0: attractor
1: univers
2: self-tun
3: extra
4: cdm
5: matter)
6: spectrum
7: scalar
8: growth
9: fluctuat
10: total
11: attract
12: better
13: scale
14: (radiat
15: exponenti
16: fix
17: perturb
18: solut
19: compon
20: field
21: enough
22: fraction
23: densiti
24: \sim
25: flat
26: contribut
27: format
28: initi
29: satisfi
30: adiabat
31: nucleosynthesi
32: particular
33: 0.1$
34: domin
35: consist
36: constraint
37: $\omega=1$
38: entri
39: properti
40: well
41: prior
42: potenti
43: small
44: model
45: observ
46: set
47: evolut
48: systemat
49: integr
50: motion
51: shown
52: appear
53: definit
54: detail
55: present
56: caviti
57: condit
58: symmetr
59: shear
60: spheric
61: dissip
62: junction
63: distribut
64: unequal)
65: fluid
66: understand
67: consid
68: studi
69: discuss
70: physic
71: stress
72: expansionfre
73: veloc
74: element
75: recov
76: inevit
77: equat
78: radial
79: anisotrop
80: whole
81: mean
82: featur
83: consider
84: predict
85: period
86: bright
87: paper
88: exist
89: find
90: dynam
91: nonlinear
92: techniqu
93: solitari
94: lattic
95: analyt
96: approach
97: competit
98: agreement
99: good
100: linear
101: numer
102: effect
103: wave
104: framework
105: eigenvalu
106: count
107: stabil
108: hamiltonian
109: inform
110: wherebi
111: obtain
112: fluoresc
113: effici
114: advantag
115: appli
116: neuron
117: idea
118: sampl
119: connect
120: close
121: cortic
122: tempor
123: carlo
124: sever
125: paramet
126: given
127: depend
128: network
129: coupl
130: data
131: activ
132: first-ord
133: fast
134: (1)
135: special
136: rel
137: spike
138: quantifi
139: hidden
140: experi
141: local
142: method
143: match
144: take
145: real
146: (2)
147: within
148: incorpor
149: expans
150: imag
151: sampler
152: weak
153: noisi
154: adapt
155: train
156: key
157: inher
158: develop
159: strong
160: exact
161: typic
162: demonstr
163: recent
164: measur
165: algorithm
166: howev
167: likelihood
168: structur
169: simul
170: calcium
171: mont
172: limit
173: singl
174: context
175: varieti
176: markov
177: usual
178: side
179: allow
180: propos
181: curv
182: underestim
183: larger
184: mag
185: give
186: quasar
187: metric
188: emiss
